file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/home/juvito/Documentos/3.Estudos/3.02.Faculdade/3.02.01.Periodos/6_Periodo/Lab_Medicao_Exp/Trab_2/LaboratorioExperimentacao02/Scripts/src/temp_repo/src/main/java/com/thealgorithms/sorts/AdaptiveMergeSort.java,com.thealgorithms.sorts.AdaptiveMergeSort,"merge/5[T[],T[],int,int,int]",false,24,2,2,1,1,5,2,19,0,3,5,2,0,0,1,0,0,0,0,2,7,3,2,0,0,0,7,2,0,false
/home/juvito/Documentos/3.Estudos/3.02.Faculdade/3.02.01.Periodos/6_Periodo/Lab_Medicao_Exp/Trab_2/LaboratorioExperimentacao02/Scripts/src/temp_repo/src/main/java/com/thealgorithms/sorts/AdaptiveMergeSort.java,com.thealgorithms.sorts.AdaptiveMergeSort,sort/1[T[]],false,5,2,1,0,1,2,2,8,2,1,1,2,1,2,0,0,0,0,1,3,1,1,1,0,0,0,3,1,0,false
/home/juvito/Documentos/3.Estudos/3.02.Faculdade/3.02.01.Periodos/6_Periodo/Lab_Medicao_Exp/Trab_2/LaboratorioExperimentacao02/Scripts/src/temp_repo/src/main/java/com/thealgorithms/datastructures/stacks/StackArray.java,com.thealgorithms.datastructures.stacks.StackArray,resize/1[int],false,97,1,0,0,0,1,1,6,0,1,1,1,0,0,0,0,0,0,1,3,3,1,0,0,0,0,14,2,0,true
/home/juvito/Documentos/3.Estudos/3.02.Faculdade/3.02.01.Periodos/6_Periodo/Lab_Medicao_Exp/Trab_2/LaboratorioExperimentacao02/Scripts/src/temp_repo/src/main/java/com/thealgorithms/datastructures/stacks/StackArray.java,com.thealgorithms.datastructures.stacks.StackArray,isFull/0,false,109,0,0,0,0,2,0,3,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,11,1,0,true
/home/juvito/Documentos/3.Estudos/3.02.Faculdade/3.02.01.Periodos/6_Periodo/Lab_Medicao_Exp/Trab_2/LaboratorioExperimentacao02/Scripts/src/temp_repo/src/main/java/com/thealgorithms/datastructures/stacks/StackArray.java,com.thealgorithms.datastructures.stacks.StackArray,StackArray/0,true,26,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,18,1,0,true
/home/juvito/Documentos/3.Estudos/3.02.Faculdade/3.02.01.Periodos/6_Periodo/Lab_Medicao_Exp/Trab_2/LaboratorioExperimentacao02/Scripts/src/temp_repo/src/main/java/com/thealgorithms/datastructures/stacks/StackArray.java,com.thealgorithms.datastructures.stacks.StackArray,push/1[T],false,52,2,2,0,2,2,2,6,0,0,1,2,0,0,0,0,0,0,0,1,1,1,1,0,0,0,19,1,0,true
/home/juvito/Documentos/3.Estudos/3.02.Faculdade/3.02.01.Periodos/6_Periodo/Lab_Medicao_Exp/Trab_2/LaboratorioExperimentacao02/Scripts/src/temp_repo/src/main/java/com/thealgorithms/datastructures/stacks/StackArray.java,com.thealgorithms.datastructures.stacks.StackArray,size/0,false,138,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,10,1,0,true
/home/juvito/Documentos/3.Estudos/3.02.Faculdade/3.02.01.Periodos/6_Periodo/Lab_Medicao_Exp/Trab_2/LaboratorioExperimentacao02/Scripts/src/temp_repo/src/main/java/com/thealgorithms/datastructures/stacks/StackArray.java,com.thealgorithms.datastructures.stacks.StackArray,StackArray/1[int],true,37,1,0,0,0,2,0,8,0,0,1,0,0,0,0,0,0,0,2,2,3,0,1,0,0,0,24,1,0,true
/home/juvito/Documentos/3.Estudos/3.02.Faculdade/3.02.01.Periodos/6_Periodo/Lab_Medicao_Exp/Trab_2/LaboratorioExperimentacao02/Scripts/src/temp_repo/src/main/java/com/thealgorithms/datastructures/stacks/StackArray.java,com.thealgorithms.datastructures.stacks.StackArray,isEmpty/0,false,119,0,0,0,0,2,0,3,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,9,1,0,true
/home/juvito/Documentos/3.Estudos/3.02.Faculdade/3.02.01.Periodos/6_Periodo/Lab_Medicao_Exp/Trab_2/LaboratorioExperimentacao02/Scripts/src/temp_repo/src/main/java/com/thealgorithms/datastructures/stacks/StackArray.java,com.thealgorithms.datastructures.stacks.StackArray,toString/0,false,148,0,0,0,0,3,3,12,1,2,0,3,0,0,1,0,0,0,3,1,2,0,2,0,0,0,13,1,0,true
/home/juvito/Documentos/3.Estudos/3.02.Faculdade/3.02.01.Periodos/6_Periodo/Lab_Medicao_Exp/Trab_2/LaboratorioExperimentacao02/Scripts/src/temp_repo/src/main/java/com/thealgorithms/datastructures/stacks/StackArray.java,com.thealgorithms.datastructures.stacks.StackArray,pop/0,false,67,2,2,0,2,4,2,10,1,1,0,2,0,0,0,0,0,0,1,3,1,3,1,0,0,0,42,1,0,true
/home/juvito/Documentos/3.Estudos/3.02.Faculdade/3.02.01.Periodos/6_Periodo/Lab_Medicao_Exp/Trab_2/LaboratorioExperimentacao02/Scripts/src/temp_repo/src/main/java/com/thealgorithms/datastructures/stacks/StackArray.java,com.thealgorithms.datastructures.stacks.StackArray,peek/0,false,85,2,1,0,1,2,1,6,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,18,1,0,true
/home/juvito/Documentos/3.Estudos/3.02.Faculdade/3.02.01.Periodos/6_Periodo/Lab_Medicao_Exp/Trab_2/LaboratorioExperimentacao02/Scripts/src/temp_repo/src/main/java/com/thealgorithms/datastructures/stacks/StackArray.java,com.thealgorithms.datastructures.stacks.StackArray,makeEmpty/0,false,128,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,16,1,0,true
/home/juvito/Documentos/3.Estudos/3.02.Faculdade/3.02.01.Periodos/6_Periodo/Lab_Medicao_Exp/Trab_2/LaboratorioExperimentacao02/Scripts/src/temp_repo/src/main/java/com/thealgorithms/ciphers/ADFGVXCipher.java,com.thealgorithms.ciphers.ADFGVXCipher,"columnarTransposition/2[java.lang.String,java.lang.String]",false,99,1,1,1,0,6,9,22,1,6,2,9,0,0,4,1,0,0,0,1,7,3,3,0,0,0,27,2,0,true
/home/juvito/Documentos/3.Estudos/3.02.Faculdade/3.02.01.Periodos/6_Periodo/Lab_Medicao_Exp/Trab_2/LaboratorioExperimentacao02/Scripts/src/temp_repo/src/main/java/com/thealgorithms/ciphers/ADFGVXCipher.java,com.thealgorithms.ciphers.ADFGVXCipher,"decrypt/2[java.lang.String,java.lang.String]",false,80,1,1,0,1,2,6,9,1,4,2,6,1,1,1,0,0,0,0,3,5,1,1,0,0,0,45,1,0,true
/home/juvito/Documentos/3.Estudos/3.02.Faculdade/3.02.01.Periodos/6_Periodo/Lab_Medicao_Exp/Trab_2/LaboratorioExperimentacao02/Scripts/src/temp_repo/src/main/java/com/thealgorithms/ciphers/ADFGVXCipher.java,com.thealgorithms.ciphers.ADFGVXCipher,"encrypt/2[java.lang.String,java.lang.String]",false,58,1,1,0,1,2,7,8,1,1,2,7,1,1,1,0,0,0,2,0,2,0,1,0,0,0,47,1,0,true
/home/juvito/Documentos/3.Estudos/3.02.Faculdade/3.02.01.Periodos/6_Periodo/Lab_Medicao_Exp/Trab_2/LaboratorioExperimentacao02/Scripts/src/temp_repo/src/main/java/com/thealgorithms/ciphers/ADFGVXCipher.java,com.thealgorithms.ciphers.ADFGVXCipher,(initializer 1),false,38,0,1,0,1,3,2,9,0,3,0,2,0,0,2,0,0,0,1,2,3,1,2,0,0,0,3,8,0,false
